term,estimate,std.error,statistic,p.value,Trait,Response
RelTraitRank,-0.06625538354139825,0.2766152802486482,-0.23952177725627302,0.8107010120287096,TR_BodyLength_mm,ChanceOfWinner
RelTraitRank,-1.2690239262612684,1.1509747340265062,-1.1025645383385485,0.27021631717458866,TR_QualBS_Numeric,ChanceOfWinner
RelTraitRank,-0.16972172458169196,0.4390248391772676,-0.38658797734485917,0.6990612599309176,TR_Mean_LengthMax,ChanceOfWinner
RelTraitRank,0.49025571432937676,0.26153314625496576,1.8745452396746372,0.06085531274707384,TR_adult_body_mass_g,ChanceOfWinner
RelTraitRank,0.33073504192741193,0.2728636787141014,1.212088921054042,0.22547834419474239,TR_Mean_SeedMass,ChanceOfWinner
RelTraitRank,-0.08434221981042038,0.3177727007892401,-0.26541682026474517,0.7906883799892109,TR_Max_Height,ChanceOfWinner
RelTraitRank,-0.09473094388822613,0.2628476177179509,-0.3604025203297727,0.7185461421402419,TR_BodyLength_mm,ChanceOfLoser
RelTraitRank,-0.8308412528035162,1.5478992183131957,-0.5367541006377117,0.5914374804999147,TR_QualBS_Numeric,ChanceOfLoser
RelTraitRank,0.0881013064398996,0.47903127126043404,0.18391556402588533,0.8540796947530964,TR_Mean_LengthMax,ChanceOfLoser
RelTraitRank,-0.24758269068458122,0.28343349149809727,-0.8735124750994477,0.38238380953996437,TR_adult_body_mass_g,ChanceOfLoser
RelTraitRank,0.058335804778733034,0.2753619268906395,0.21185138206089477,0.832222981096673,TR_Mean_SeedMass,ChanceOfLoser
RelTraitRank,-0.15849142218264223,0.3337222309838548,-0.47492018052075746,0.6348438668723999,TR_Max_Height,ChanceOfLoser
