OrigName,FoundName,TAXA,TITLE
Starling,Aplonis mavornata,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Aplonis mavornata,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Aplonis minor,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Aplonis minor,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Aplonis minor,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Aplonis mystacea,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Aplonis mystacea,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Aplonis mystacea,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Aplonis panayensis,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Aplonis panayensis,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Aplonis panayensis,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Aplonis pelzelni,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Aplonis pelzelni,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Aplonis pelzelni,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Aplonis santovestris,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Aplonis santovestris,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Aplonis santovestris,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Aplonis striata,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Aplonis striata,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Aplonis striata,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Brachypauropus pearsei,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Brachypauropus pearsei,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Brachypauropus pearsei,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Creatophora cinerea,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Creatophora cinerea,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Creatophora cinerea,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Desmopauropus dukensis,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Desmopauropus dukensis,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Desmopauropus dukensis,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Enodes erythrophris,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Enodes erythrophris,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Enodes erythrophris,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Fregilupus varius,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Fregilupus varius,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Fregilupus varius,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Lamprotornis acuticaudus,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Lamprotornis acuticaudus,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Lamprotornis acuticaudus,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Lamprotornis australis,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Lamprotornis australis,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Lamprotornis australis,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Lamprotornis caudatus,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Lamprotornis caudatus,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Lamprotornis caudatus,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Lamprotornis chalcurus,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Lamprotornis chalcurus,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Lamprotornis chalcurus,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Lamprotornis chalybaeus,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Lamprotornis chalybaeus,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Lamprotornis chalybaeus,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Lamprotornis chloropterus,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Lamprotornis chloropterus,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Lamprotornis chloropterus,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Lamprotornis corruscus,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Lamprotornis corruscus,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Lamprotornis corruscus,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Lamprotornis iris,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Lamprotornis iris,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Lamprotornis iris,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Lamprotornis mevesii,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Lamprotornis mevesii,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Lamprotornis mevesii,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Lamprotornis nitens,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Lamprotornis nitens,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Lamprotornis nitens,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Lamprotornis ornatus,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Lamprotornis ornatus,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Lamprotornis ornatus,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Lamprotornis purpureus,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Lamprotornis purpureus,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Lamprotornis purpureus,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Lamprotornis purpuroptera,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Lamprotornis purpuroptera,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Lamprotornis purpuroptera,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Lamprotornis regius,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Lamprotornis regius,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Lamprotornis regius,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Lamprotornis splendidus,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Lamprotornis splendidus,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Lamprotornis splendidus,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Necropsar rodericanus,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Necropsar rodericanus,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Necropsar rodericanus,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Neocichla gutturalis,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Neocichla gutturalis,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Neocichla gutturalis,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Onychognathus fulgidus,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Onychognathus fulgidus,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Onychognathus fulgidus,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Onychognathus tenuirostris,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Onychognathus tenuirostris,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Onychognathus tenuirostris,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Onychognathus walleri,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Onychognathus walleri,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Onychognathus walleri,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Poeoptera stuhlmanni,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Poeoptera stuhlmanni,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Poeoptera stuhlmanni,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Speculipastor bicolor,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Speculipastor bicolor,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Speculipastor bicolor,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Sturnia blythii,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Sturnia blythii,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Sturnia blythii,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Sturnia pagodarum,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Sturnia pagodarum,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Sturnia pagodarum,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Sturnus nigricollis,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Sturnus nigricollis,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Sturnus nigricollis,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Sturnus roseus,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Sturnus roseus,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Sturnus roseus,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Sturnus vulgaris,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Sturnus vulgaris,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Starling,Sturnus vulgaris,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Tree sparrow,Passer montanus,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Tree sparrow,Passer rutilans,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Tree sparrow,Spizella arborea,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Tree sparrow,Spizelloides arborea,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Tufted titmouse,Baeolophus bicolor,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Tufted titmouse,Baeolophus bicolor,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Tufted titmouse,Baeolophus bicolor,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Tufted titmouse,Baeolophus bicolor,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Tufted titmouse,Parus bicolor,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Tufted titmouse,Parus bicolor,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Tufted titmouse,Parus bicolor,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Tufted titmouse,Parus bicolor,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Wandering albatross,Diomedea exulans,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Wandering albatross,Diomedea gibsoni,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Whip-poor-will,Antrostomus arizonae,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Whip-poor-will,Antrostomus arizonae,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Whip-poor-will,Antrostomus vociferus,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Whip-poor-will,Antrostomus vociferus,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Whip-poor-will,Caprimulgus vociferus,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Whip-poor-will,Caprimulgus vociferus,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Whip-poor-will,Trillium cernuum,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Whip-poor-will,Trillium cernuum,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Wilson,Acianthera wilsonii,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Wilson,Adiantum wilsonii,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Wilson,Astragalus lentiginosus,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Wilson,Berberis wilsoniae,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Wilson,Bomolochus nothrus,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Wilson,Branchiaster simplex,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Wilson,Cardellina pusilla,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Wilson,Chaenodraco wilsoni,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Wilson,Charadrius wilsonia,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Wilson,Chondrohierax uncinatus,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Wilson,Cicinnurus respublica,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Wilson,Cypridina parasitica,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Wilson,Diaptomus clavipoides,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Wilson,Diaptomus hirsutus,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Wilson,Diaptomus schefferi,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Wilson,Dioclea wilsonii,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Wilson,Diphyllodes respublica,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Wilson,Gallinago delicata,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Wilson,Heteroclinus wilsoni,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Wilson,Homalia falcifolia,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Wilson,Homalia oblongifolia,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Wilson,Huperzia wilsonii,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Wilson,Hymenophyllum wilsonii,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Wilson,Impatiens cribbii,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Wilson,Iris wilsonii,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Wilson,Jereicopsis fruticosa,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Wilson,Leucochrysum graminifolium,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Wilson,Lipomera curvintestina,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Wilson,Lonicera nitida,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Wilson,Maireana integra,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Wilson,Maireana radiata,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Wilson,Maireana rohrlachii,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Wilson,Meconopsis lijiangensis,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Wilson,Myriopholis wilsoni,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Wilson,Neophyllis melacarpa,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Wilson,Oceanites oceanicus,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Wilson,Parapetalus occidentalus,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Wilson,Phalaropus tricolor,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Wilson,Phlegmariurus wilsonii,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Wilson,Picea wilsonii,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Wilson,Populus wilsonii,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Wilson,Pottia wilsonii,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Wilson,Rhynchostegiella pumila,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Wilson,Sipanea wilson,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Wilson,Strigula wilsonii,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Wilson,Velia paulianeae,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Wilson,Vidua wilsoni,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Winter wren,Troglodytes hiemalis,Birds,Bird community dynamics in a temperate deciduous forest Long-term trends at Hubbard Brook
Winter wren,Troglodytes hiemalis,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Winter wren,Troglodytes troglodytes,Birds,Bird community dynamics in a temperate deciduous forest Long-term trends at Hubbard Brook
Winter wren,Troglodytes troglodytes,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Wood duck,Aix sponsa,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Wood duck,Asarcornis scutulata,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Wood duck,Cairina scutulata,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Wood duck,Chenonetta jubata,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Wood duck,Dendrocygna arborea,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Yellow Warbler,Calamonastides gracilirostris,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Yellow Warbler,Chloropeta gracilirostris,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Yellow Warbler,Dendroica petechia,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Yellow Warbler,Iduna natalensis,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Yellow Warbler,Iduna similis,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Yellow Warbler,Persea borbonia,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Yellow Warbler,Setophaga aestiva,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Yellow Warbler,Setophaga petechia,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Yellow-throated Warbler,Acer rubrum,Birds,Bird community dynamics in a temperate deciduous forest Long-term trends at Hubbard Brook
Yellow-throated Warbler,Acer rubrum,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Yellow-throated Warbler,Phylloscopus ruficapilla,Birds,Bird community dynamics in a temperate deciduous forest Long-term trends at Hubbard Brook
Yellow-throated Warbler,Phylloscopus ruficapilla,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Yellow-throated Warbler,Setophaga dominica,Birds,Bird community dynamics in a temperate deciduous forest Long-term trends at Hubbard Brook
Yellow-throated Warbler,Setophaga dominica,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
