usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,class,submittedname,matchcategory,note,acceptedUsageKey
2483606,"Sayornis phoebe (Latham, 1790)",Sayornis phoebe,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Passeriformes,Tyrannidae,Sayornis,Sayornis phoebe,1,44,212,729,5291,2483605,2483606,FALSE,Aves,Sayornis phoebe,Top,NA,NA
5229734,"Contopus virens (Linnaeus, 1766)",Contopus virens,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Passeriformes,Tyrannidae,Contopus,Contopus virens,1,44,212,729,5291,2483729,5229734,FALSE,Aves,Contopus virens,Top,NA,NA
2481661,"Aptenodytes forsteri G.R.Gray, 1844",Aptenodytes forsteri,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Sphenisciformes,Spheniscidae,Aptenodytes,Aptenodytes forsteri,1,44,212,7190978,5284,2481659,2481661,FALSE,Aves,Aptenodytes forsteri,Top,NA,NA
5229332,"Pachyptila turtur (Kuhl, 1820)",Pachyptila turtur,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Procellariiformes,Procellariidae,Pachyptila,Pachyptila turtur,1,44,212,7192755,9339,2481527,5229332,FALSE,Aves,Pachyptila turtur,Top,NA,NA
2492096,"Spizella pusilla (A.Wilson, 1810)",Spizella pusilla,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Passeriformes,Emberizidae,Spizella,Spizella pusilla,1,44,212,729,9608,2492093,2492096,FALSE,Aves,Spizella pusilla,Top,NA,NA
5645426,Spigelia pusilla Mart.,Spigelia pusilla,SPECIES,ACCEPTED,69,FUZZY,Plantae,Tracheophyta,Gentianales,Loganiaceae,Spigelia,Spigelia pusilla,6,7707728,220,412,2502,3169498,5645426,FALSE,Magnoliopsida,Spizella pusilla,Alternative,Similarity: name=65; authorship=0; classification=-2; rank=5; status=1,NA
2481666,"Pygoscelis papua (J.R.Forster, 1781)",Pygoscelis papua,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis papua,1,44,212,7190978,5284,2481662,2481666,FALSE,Aves,Pygoscelis papua,Top,NA,NA
2484591,"Regulus satrapa Lichtenstein, 1823",Regulus satrapa,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Passeriformes,Regulidae,Regulus,Regulus satrapa,1,44,212,729,5279,2484589,2484591,FALSE,Aves,Regulus satrapa,Top,NA,NA
2494936,"Dumetella carolinensis (Linnaeus, 1766)",Dumetella carolinensis,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Passeriformes,Mimidae,Dumetella,Dumetella carolinensis,1,44,212,729,9321,2494935,2494936,FALSE,Aves,Dumetella carolinensis,Top,NA,NA
2483597,"Myiarchus crinitus (Linnaeus, 1758)",Myiarchus crinitus,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Passeriformes,Tyrannidae,Myiarchus,Myiarchus crinitus,1,44,212,729,5291,2483527,2483597,FALSE,Aves,Myiarchus crinitus,Top,NA,NA
