trait,STUDY_ID_CELL,kendall_cor
TR_BodyLength_mm,148_4713869,0.057020800348857814
TR_BodyLength_mm,148_4713870,-0.09693536059305828
TR_BodyLength_mm,148_4713873,-0.23219925523973037
TR_BodyLength_mm,148_4713874,0.07236998724831967
TR_BodyLength_mm,148_4714518,0.15555555555555556
TR_BodyLength_mm,148_4714545,-0.07655590023509529
TR_BodyLength_mm,148_4714554,0.2833333333333333
TR_BodyLength_mm,148_4714555,0.33333333333333337
TR_BodyLength_mm,148_4714556,-0.05128205128205128
TR_BodyLength_mm,148_4714564,0.4222222222222222
TR_BodyLength_mm,148_4714566,0.18450310115418653
TR_BodyLength_mm,148_4714568,0.07692307692307693
TR_BodyLength_mm,148_4714569,0.28888888888888886
TR_BodyLength_mm,148_4714571,-0.22811120461123455
TR_BodyLength_mm,148_4714572,-0.2333333333333333
TR_BodyLength_mm,148_4714579,0.2
TR_BodyLength_mm,148_4714583,0.005847953216374269
TR_BodyLength_mm,148_4714584,-0.3093969872615047
TR_BodyLength_mm,148_4714585,0.1666666666666667
TR_BodyLength_mm,148_4714586,-0.12121212121212122
TR_BodyLength_mm,148_4714598,-0.029544049702958344
TR_BodyLength_mm,148_4714599,-0.007760536920012257
TR_BodyLength_mm,148_4714601,0.14936272501227418
TR_BodyLength_mm,148_4714602,0.07169350347338645
TR_BodyLength_mm,148_4714604,-0.20261437908496735
TR_BodyLength_mm,148_4715277,0.10294117647058823
TR_BodyLength_mm,148_4715288,0.20192307692307696
TR_BodyLength_mm,148_4715292,0.041177183002408524
TR_BodyLength_mm,148_4715301,-0.11590637664482409
TR_BodyLength_mm,148_4715304,0.38888888888888895
TR_BodyLength_mm,148_4715310,0.36698792170878686
TR_BodyLength_mm,148_4715311,0.06666666666666667
TR_BodyLength_mm,148_4715314,-0.025104822262671692
TR_BodyLength_mm,148_4715317,-0.20920685218893076
TR_BodyLength_mm,148_4715327,-0.05622895816746064
TR_BodyLength_mm,148_4715328,0.05860810229584318
TR_BodyLength_mm,148_4715329,0.05835728536710697
TR_BodyLength_mm,148_4715330,0.039261388791856595
TR_BodyLength_mm,148_4715331,0.11851851851851852
TR_BodyLength_mm,148_4715971,0
TR_BodyLength_mm,148_4715976,-0.28888888888888886
TR_BodyLength_mm,148_4715998,0.15311180047019057
TR_BodyLength_mm,148_4716000,-0.07692307692307693
TR_BodyLength_mm,148_4716012,0.13259870882635916
TR_BodyLength_mm,148_4716019,0
TR_BodyLength_mm,148_4716021,-0.059260885094595976
TR_BodyLength_mm,148_4716023,0.31868131868131866
TR_BodyLength_mm,148_4716024,-0.044946657497549475
