TidyBTName,canonicalName,rank,kingdom,common_name,AphiaID,Aphia_scientificname,TRY_AccSpeciesName,TR_BodyLength_mm,TR_QualitativeBodySize,TR_Mean_LengthMax,TR_adult_body_mass_g,TR_Mean_SeedMass,TR_Max_Height,Fish_Refs_Length,TRY_datasetIDs_SeedMass,TRY_datasetIDs_Height
Lobodon carcinophaga,Lobodon carcinophaga,SPECIES,Animalia,Crabeater Seal,NA,NA,NA,NA,NA,NA,238333.33,NA,NA,NA,NA,NA
Ommatophoca rossii,Ommatophoca rossii,SPECIES,Animalia,Ross Seal,231412,Ommatophoca rossii,NA,2300,NA,NA,197959.395,NA,NA,NA,NA,NA
Oceanites oceanicus,Oceanites oceanicus,SPECIES,Animalia,Wilson's Storm Petrel,137190,Oceanites oceanicus,NA,420,NA,NA,34,NA,NA,NA,NA,NA
Macronectes giganteus,Macronectes giganteus,SPECIES,Animalia,Southern Giant Petrel,212636,Macronectes giganteus,NA,NA,NA,NA,4447.5,NA,NA,NA,NA,NA
Catharacta maccormicki,Catharacta maccormicki,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sterna paradisaea,Sterna paradisaea,SPECIES,Animalia,Arctic Tern,137165,Sterna paradisaea,NA,850,NA,NA,110,NA,NA,NA,NA,NA
Macronectes sp,Macronectes,GENUS,Animalia,NA,206822,Macronectes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lugensa brevirostris,Lugensa brevirostris,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Balaenoptera acutorostrata,Balaenoptera acutorostrata,SPECIES,Animalia,Common Minke Whale,137087,Balaenoptera acutorostrata,NA,8350,>200 mm,NA,7500000,NA,NA,NA,NA,NA
Halobaena caerulea,Halobaena caerulea,SPECIES,Animalia,Blue Petrel,212645,Halobaena caerulea,NA,NA,NA,NA,190,NA,NA,NA,NA,NA
Pachyptila salvini,Pachyptila salvini,SPECIES,Animalia,Salvin's Prion,225961,Pachyptila salvini,NA,NA,NA,NA,175,NA,NA,NA,NA,NA
